destroy_severity,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.7,shuffled_memory,overdriven_arbiter,0.12418042074274553,0.12418042074274553,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.6787346443593716,-0.554554223616626,0.1088881993417972,0.130859375,0.130859375,0.869140625,0.0,0.25,2048
0.7,shuffled_memory,arbiter_only,0.12251031851861327,0.12251031851861327,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.6766909754659688,-0.5541806569473555,0.10721809711766493,0.130859375,0.130859375,0.869140625,0.0,0.25,2048
1.0,shuffled_memory,speed_only_no_memory,0.04970410111096888,0.04970410111096888,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.26338691094915084,-0.21368280983818197,0.03367358070837122,0.126953125,0.126953125,0.873046875,0.0,0.25,2048
1.0,shuffled_memory,latent_memory_only,0.12887121317845382,0.12887121317845382,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.7188481127177447,-0.5899768995392909,0.11284069277585616,0.12158203125,0.12158203125,0.87841796875,0.0,0.25,2048
1.0,shuffled_memory,memory_bounded_arbiter,0.12109023987783214,0.12109023987783214,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.6867987355468748,-0.5657084956690426,0.10505971947523449,0.12158203125,0.12158203125,0.87841796875,0.0,0.25,2048
1.0,shuffled_memory,overdriven_arbiter,0.11553706936589417,0.11553706936589417,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.6845132888160609,-0.5689762194501667,0.09950654896329651,0.12158203125,0.12158203125,0.87841796875,0.0,0.25,2048
1.0,shuffled_memory,arbiter_only,0.11387218283615502,0.11387218283615502,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.6824322473622316,-0.5685600645260767,0.09784166243355737,0.12158203125,0.12158203125,0.87841796875,0.0,0.25,2048
1.0,adversarial_memory,overdriven_arbiter,-0.01753083863708908,-0.01753083863708908,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.20156415560434476,-0.21909499424143386,-0.03356135903968674,0.07666015625,0.07666015625,0.92333984375,0.0,0.25,2048
0.7,adversarial_memory,memory_bounded_arbiter,-0.12295089080001713,-0.12295089080001713,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.7154668143348722,-0.8384177051348893,-0.13824311220096547,0.0,0.0,1.0,0.0,0.25,2048
1.0,adversarial_memory,memory_bounded_arbiter,-0.14216296362094277,-0.14216296362094277,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.7127507956071157,-0.8549137592280585,-0.15819348402354041,0.0,0.0,1.0,0.0,0.25,2048
0.7,adversarial_memory,latent_memory_only,-0.1630043148156481,-0.1630043148156481,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.8042407140640206,-0.9672450288796687,-0.1782965362165964,0.0,0.0,1.0,0.0,0.25,2048
1.0,adversarial_memory,latent_memory_only,-0.1639040269132892,-0.1639040269132892,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.8036944729870552,-0.9675984999003444,-0.17993454731588684,0.0,0.0,1.0,0.0,0.25,2048
