memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
wrong_coherent_memory,speed_only_no_memory,0.01727872180180231,0.01727872180180231,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16920625968454184,-0.15192753788273952,0.0016173509000293124,0.15185546875,0.15185546875,0.84814453125,0.0,0.25,4096
memory_swap,overdriven_arbiter,0.01299275693054487,0.01299275693054487,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16805498483191814,-0.15506222790137325,-0.002668613971228126,0.14208984375,0.14208984375,0.85791015625,0.0,0.25,4096
wrong_coherent_memory,overdriven_arbiter,0.01299275693054487,0.01299275693054487,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16805498483191814,-0.15506222790137325,-0.002668613971228126,0.14208984375,0.14208984375,0.85791015625,0.0,0.25,4096
memory_swap,arbiter_only,0.012558446623208685,0.012558446623208685,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16795237561542012,-0.1553939289922114,-0.00310292427856431,0.14208984375,0.14208984375,0.85791015625,0.0,0.25,4096
wrong_coherent_memory,arbiter_only,0.012558446623208685,0.012558446623208685,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16795237561542012,-0.1553939289922114,-0.00310292427856431,0.14208984375,0.14208984375,0.85791015625,0.0,0.25,4096
memory_swap,latent_memory_only,0.013210815346548036,0.013210815346548036,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.1681740550152498,-0.15496323966870174,-0.0024505555552249607,0.136962890625,0.136962890625,0.863037109375,0.0,0.25,4096
wrong_coherent_memory,latent_memory_only,0.013210815346548036,0.013210815346548036,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.1681740550152498,-0.15496323966870174,-0.0024505555552249607,0.136962890625,0.136962890625,0.863037109375,0.0,0.25,4096
memory_swap,memory_bounded_arbiter,0.014144950810266305,0.014144950810266305,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16836216362893067,-0.15421721281866435,-0.0015164200915066903,0.134765625,0.134765625,0.865234375,0.0,0.25,4096
wrong_coherent_memory,memory_bounded_arbiter,0.014144950810266305,0.014144950810266305,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16836216362893067,-0.15421721281866435,-0.0015164200915066903,0.134765625,0.134765625,0.865234375,0.0,0.25,4096
shuffled_memory,speed_only_no_memory,0.05081611839873878,0.05081611839873878,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.2632482855415408,-0.212432167142802,0.03515474749696579,0.129150390625,0.129150390625,0.870849609375,0.0,0.25,4096
shuffled_memory,latent_memory_only,0.13307613964557852,0.13307613964557852,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.7161487882044469,-0.5830726485588684,0.11741476874380552,0.126220703125,0.126220703125,0.873779296875,0.0,0.25,4096
shuffled_memory,memory_bounded_arbiter,0.12536758083102845,0.12536758083102845,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.683986856369982,-0.5586192755389536,0.10970620992925545,0.126220703125,0.126220703125,0.873779296875,0.0,0.25,4096
shuffled_memory,overdriven_arbiter,0.11985874505431986,0.11985874505431986,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.6816239665877162,-0.5617652215333964,0.10419737415254686,0.126220703125,0.126220703125,0.873779296875,0.0,0.25,4096
shuffled_memory,arbiter_only,0.11819125067738415,0.11819125067738415,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.6795616114141002,-0.5613703607367161,0.10252987977561115,0.126220703125,0.126220703125,0.873779296875,0.0,0.25,4096
adversarial_memory,memory_bounded_arbiter,-0.13255692721047996,-0.13255692721047996,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.7141088049709939,-0.8466657321814739,-0.14821829811225293,0.0,0.0,1.0,0.0,0.25,4096
adversarial_memory,latent_memory_only,-0.16345417086446865,-0.16345417086446865,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.8039675935255379,-0.9674217643900066,-0.17911554176624164,0.0,0.0,1.0,0.0,0.25,4096
