memory_cap,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
1.0,wrong_coherent_memory,observable_only,0.016227656706265917,0.016227656706265917,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.17069401758435385,-0.1544663608780879,-1.5722741557508538e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,adversarial_memory,null_memory,0.016227656706191484,0.016227656706191484,0.01622765670628164,-0.19786970476634974,0.11497394968936503,0.1706940175835702,-0.15446636087737872,-9.015411093026598e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,coherent_memory,null_memory,0.016227656706191484,0.016227656706191484,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.1706940175835702,-0.15446636087737872,-9.015411093026598e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,destroyed_memory,null_memory,0.016227656706191484,0.016227656706191484,0.01622765670628164,0.11232176268805426,0.11265615558128772,0.1706940175835702,-0.15446636087737872,-9.015411093026598e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,memory_swap,null_memory,0.016227656706191484,0.016227656706191484,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.1706940175835702,-0.15446636087737872,-9.015411093026598e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,shuffled_memory,null_memory,0.016227656706191484,0.016227656706191484,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.1706940175835702,-0.15446636087737872,-9.015411093026598e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,wrong_coherent_memory,null_memory,0.016227656706191484,0.016227656706191484,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.1706940175835702,-0.15446636087737872,-9.015411093026598e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,memory_swap,arbiter_only,0.00878339228221252,0.00878339228221252,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.1675430669952489,-0.1587596747130364,-0.00744426442406912,0.14453125,0.14453125,0.85546875,0.0,0.25,2048
1.0,wrong_coherent_memory,arbiter_only,0.00878339228221252,0.00878339228221252,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.1675430669952489,-0.1587596747130364,-0.00744426442406912,0.14453125,0.14453125,0.85546875,0.0,0.25,2048
1.0,memory_swap,overdriven_arbiter,0.009414292832041721,0.009414292832041721,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.1677635532893723,-0.1583492604573306,-0.006813363874239918,0.1435546875,0.1435546875,0.8564453125,0.0,0.25,2048
1.0,wrong_coherent_memory,overdriven_arbiter,0.009414292832041721,0.009414292832041721,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.1677635532893723,-0.1583492604573306,-0.006813363874239918,0.1435546875,0.1435546875,0.8564453125,0.0,0.25,2048
0.5,memory_swap,overdriven_arbiter,0.016571221029048018,0.016571221029048018,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.16834641637446393,-0.15177519534541592,0.0014761359317836664,0.140625,0.140625,0.859375,0.0,0.25,2048
0.5,wrong_coherent_memory,overdriven_arbiter,0.016571221029048018,0.016571221029048018,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.16834641637446393,-0.15177519534541592,0.0014761359317836664,0.140625,0.140625,0.859375,0.0,0.25,2048
0.5,memory_swap,arbiter_only,0.016333500964204852,0.016333500964204852,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.1683616842355913,-0.15202818327138645,0.0012384158669405004,0.1396484375,0.1396484375,0.8603515625,0.0,0.25,2048
0.5,wrong_coherent_memory,arbiter_only,0.016333500964204852,0.016333500964204852,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.1683616842355913,-0.15202818327138645,0.0012384158669405004,0.1396484375,0.1396484375,0.8603515625,0.0,0.25,2048
1.0,memory_swap,latent_memory_only,0.009515345633165223,0.009515345633165223,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.16799824337858485,-0.15848289774541963,-0.006712311073116418,0.1396484375,0.1396484375,0.8603515625,0.0,0.25,2048
1.0,wrong_coherent_memory,latent_memory_only,0.009515345633165223,0.009515345633165223,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.16799824337858485,-0.15848289774541963,-0.006712311073116418,0.1396484375,0.1396484375,0.8603515625,0.0,0.25,2048
0.5,memory_swap,memory_bounded_arbiter,0.017117701808859992,0.017117701808859992,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.16837872652176525,-0.15126102471290526,0.0020226167115956397,0.13916015625,0.13916015625,0.86083984375,0.0,0.25,2048
0.5,wrong_coherent_memory,memory_bounded_arbiter,0.017117701808859992,0.017117701808859992,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.16837872652176525,-0.15126102471290526,0.0020226167115956397,0.13916015625,0.13916015625,0.86083984375,0.0,0.25,2048
0.5,memory_swap,latent_memory_only,0.01690628505993085,0.01690628505993085,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.1683498666519147,-0.15144358159198387,0.0018111999626664963,0.13427734375,0.13427734375,0.86572265625,0.0,0.25,2048
