condition,mode,noise,memory_cap,arbiter_speed,memory_true_similarity,memory_observable_similarity,memory_arbiter_similarity,count,target_similarity,nearest_non_target,dominance,recovered,competitor_won,coef_X,coef_X_std,coef_Phi,coef_Phi_std,coef_K,coef_K_std,coef_A,coef_A_std
destroyed_memory,shuffled_label_control,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,0.002949993094588281,0.4035569542672088,-0.4006069611726205,0.015865384615384615,0.9841346153846153,,,,,,,,
destroyed_memory,null_memory,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,-0.00023640391273508393,0.4032684077607137,-0.4035048116734488,0.01481990231990232,0.9851800976800977,,,,,,,,
destroyed_memory,arbiter_only,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,-0.003906061915169754,0.40349643222300363,-0.4074024941381734,0.012767094017094017,0.9872329059829059,,,,,,,,
destroyed_memory,speed_only_no_memory,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,-0.003906061915169754,0.40349643222300363,-0.4074024941381734,0.012767094017094017,0.9872329059829059,,,,,,,,
memory_swap,memory_only,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,1.0,0.7734067177201924,0.22659328227980763,1.0,0.0,,,,,,,,
memory_swap,calibrated_full,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,0.09663470990984403,0.4582462770271477,-0.36161156711730374,0.026892551892551894,0.9731074481074481,-0.011335062094235095,0.3310320713464641,-0.0023632306655766776,0.27748381461034854,0.0008738182727432441,0.21886251201376172,0.005203533964211368,0.4057745443536518
memory_swap,calibrated_no_observable,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,0.09663470990984403,0.4582462770271477,-0.36161156711730374,0.026892551892551894,0.9731074481074481,-0.011335062094235095,0.3310320713464641,-0.0023632306655766776,0.27748381461034854,0.0008738182727432441,0.21886251201376172,0.005203533964211368,0.4057745443536518
memory_swap,calibrated_no_arbiter,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,0.0944676621084823,0.4637569801226215,-0.3692893180141393,0.024435286935286935,0.975564713064713,-0.011335062094235095,0.3310320713464641,-0.0023632306655766776,0.27748381461034854,0.0008738182727432441,0.21886251201376172,0.005203533964211368,0.4057745443536518
memory_swap,observable_only,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,0.0030047573194949763,0.3509741915786863,-0.34796943425919136,0.017628205128205128,0.9823717948717949,,,,,,,,
memory_swap,shuffled_label_control,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,0.0026995334907491263,0.4585705518966827,-0.4558710184059336,0.016056166056166058,0.9839438339438339,,,,,,,,
